supplier_id,supplier_name,supplier_category,supplier_country,Invoice_Count,Total_Invoice_Amount,Anomaly_Count,Average_Anomaly_Score,Average_Audit_Risk_Score,Max_Combined_Priority_Score,Anomaly_Rate
SUP00174,Supplier_0174,Telecom,Algeria,17,211690.84,0,18.83,6.7,32.4,0.0
SUP00290,Supplier_0290,Office Supplies,Tunisia,10,68115.66,0,37.65,7.42,32.36,0.0
SUP00066,Supplier_0066,Consulting,Algeria,12,207709.02,0,21.04,7.71,32.01,0.0
SUP00304,Supplier_0304,Facilities,Algeria,17,159361.3,0,25.43,6.8,31.79,0.0
SUP00273,Supplier_0273,Logistics,Algeria,20,473944.14,0,24.79,8.71,31.66,0.0
SUP00084,Supplier_0084,Consulting,United Kingdom,14,125444.32,0,35.6,5.57,31.61,0.0
SUP00271,Supplier_0271,Logistics,Algeria,17,130385.45,0,27.91,7.78,30.73,0.0
SUP00103,Supplier_0103,Logistics,Algeria,5,50769.41,0,21.6,8.92,30.72,0.0
SUP00262,Supplier_0262,Marketing Services,France,6,55427.63,0,28.47,6.54,30.31,0.0
SUP00137,Supplier_0137,Telecom,Algeria,10,62675.61,0,22.35,8.17,30.25,0.0
SUP00054,Supplier_0054,Training,Algeria,20,132091.97,0,22.08,3.36,29.74,0.0
SUP00047,Supplier_0047,Consulting,Algeria,11,63949.28,0,21.03,8.06,29.69,0.0
SUP00099,Supplier_0099,Telecom,Algeria,11,66278.87,0,20.04,4.4,29.69,0.0
SUP00110,Supplier_0110,Training,Algeria,21,144889.46,0,23.92,5.97,29.51,0.0
SUP00141,Supplier_0141,Telecom,Algeria,18,145206.17,0,23.15,8.06,29.48,0.0
SUP00248,Supplier_0248,Marketing Services,United Kingdom,11,95188.58,0,34.77,5.08,29.22,0.0
SUP00050,Supplier_0050,Telecom,Algeria,6,35794.01,0,17.2,7.08,29.19,0.0
SUP00237,Supplier_0237,Consulting,Algeria,8,90633.32,0,33.3,5.85,28.98,0.0
SUP00239,Supplier_0239,Marketing Services,Algeria,12,148655.15,0,20.56,9.59,28.89,0.0
SUP00088,Supplier_0088,Marketing Services,Algeria,29,328727.88,0,25.93,5.84,28.78,0.0
SUP00041,Supplier_0041,Logistics,Turkey,5,25242.83,0,25.31,11.61,28.66,0.0
SUP00104,Supplier_0104,Marketing Services,Algeria,10,90944.77,0,26.63,7.42,28.66,0.0
SUP00191,Supplier_0191,Training,Algeria,7,83358.95,0,19.86,11.52,28.52,0.0
SUP00308,Supplier_0308,Maintenance,Algeria,12,153971.75,0,29.1,7.08,28.36,0.0
SUP00185,Supplier_0185,Consulting,Algeria,15,112010.73,0,26.47,6.81,28.13,0.0
SUP00072,Supplier_0072,Professional Services,Algeria,17,149351.88,0,22.09,11.8,27.74,0.0
SUP00138,Supplier_0138,Telecom,Algeria,15,225130.71,0,24.26,10.11,27.7,0.0
SUP00218,Supplier_0218,Logistics,Algeria,14,85111.16,0,26.44,3.96,27.69,0.0
SUP00035,Supplier_0035,Telecom,Algeria,13,101922.71,0,22.21,6.74,27.58,0.0
SUP00303,Supplier_0303,Office Supplies,Algeria,9,93735.06,0,20.32,6.51,27.49,0.0
SUP00207,Supplier_0207,IT Services,Algeria,14,188846.41,0,23.75,5.68,26.75,0.0
SUP00175,Supplier_0175,Office Supplies,Algeria,7,106811.72,0,21.73,7.68,25.92,0.0
SUP00136,Supplier_0136,IT Services,Algeria,9,73459.54,0,18.89,6.03,25.26,0.0
SUP00133,Supplier_0133,Logistics,Algeria,11,81599.52,0,22.78,3.71,24.86,0.0
SUP00039,Supplier_0039,Professional Services,Algeria,7,106516.61,0,19.11,9.14,24.1,0.0
SUP00065,Supplier_0065,Training,Algeria,13,110994.12,0,22.32,6.29,24.04,0.0
SUP00132,Supplier_0132,Consulting,Algeria,6,58637.27,0,20.13,8.15,22.46,0.0
SUP00264,Supplier_0264,IT Services,Algeria,7,37639.66,0,16.94,4.3,21.82,0.0
SUP00193,Supplier_0193,Maintenance,Germany,7,104038.89,0,27.0,4.76,21.31,0.0
SUP00077,Supplier_0077,Maintenance,Algeria,3,19720.02,0,20.07,5.92,20.73,0.0
SUP00306,Supplier_0306,Office Supplies,Algeria,8,68309.81,0,19.89,4.44,19.95,0.0
SUP00071,Supplier_0071,Telecom,Algeria,1,1124.33,0,11.01,2.69,7.68,0.0
